SAPID,name,password,role,fullday,halfday,rh,compOff
29137562,Alejandra Paver,2e58e2e2-c90c-3c1d-e4f1-bf5aa8df2669,admin,10,10,4,1
26788157,Brynne Huntress,4044ac62-24ba-997e-fb07-6e2c7c6285ea,admin,10,4,3,2
62570444,Cherie Krolik,84119b9b-0af1-29a7-de83-cc8549bfcf8a,admin,7,3,3,1
11298253,Sutherland Beartup,09b51277-ecbd-cfe8-33fc-48d5ec672f0f,admin,8,10,4,3
83367582,Winonah Lenaghen,d2fa2c66-5838-4f6b-ac2e-9d1614c0de9b,admin,10,10,2,1
42554574,Jedd Yeates,4da96daf-e8a0-ce71-a276-3327f897edcc,user,6,1,2,2
11922863,Effie Penritt,bc9f3873-d740-46d4-1d6a-fe4cc2b706f2,admin,5,6,3,3
56904071,Cheston McLafferty,3a56aaf1-bd53-5398-ad84-a9a1e25bab0c,admin,7,9,4,1
67096700,Karrah Sprey,5eb03b15-fbc2-9bbc-0b51-0d9b6b0979c0,user,6,10,3,3
22339031,Perri McClinton,da93e5f8-d4b4-afd9-4d27-af611c1a4d4f,user,8,5,4,1
88000284,Mallissa Drohane,54674cd7-6c1d-3a6b-740f-390aa7e4f712,admin,9,10,4,3
96249029,Lark Bexley,24fadd20-c9ad-1828-1d7a-d1b71a8288e4,admin,10,3,3,2
26998237,Arley Portinari,a024a304-f162-8af4-01a1-d662254f37ba,admin,6,3,2,3
21135747,Geri Stuck,2ae4ee67-125e-69ed-fb7c-8beebdc9345e,admin,10,10,3,3
17950547,Yvon Sarsfield,87a06f0b-e046-900b-8306-ab221ea5e485,user,9,5,4,1
44299007,Alfredo Birtonshaw,4bc641c2-8220-bb00-cf68-334e3cb8242f,user,5,10,5,2
72284707,Sherilyn Downes,897165bd-afe9-16cc-d5f4-74aab1c0847f,admin,5,7,3,1
41170620,Raddie Arderne,1297c98e-6393-db5a-8be2-f3f9c8a069b9,user,5,8,5,1
80489967,Sasha Portigall,74e35102-d94d-38b0-1f09-9b5759c8a0b2,admin,5,8,3,2
95668801,Huntington Imesen,3b281336-fa27-19a3-5447-b554d230d786,admin,7,6,1,2
60746138,Jaimie Petrushka,b73d67da-3c18-15ab-e9ee-03c2d2663375,user,10,8,5,3
00310547,Faith Needham,b28b45ea-5599-9ba9-057c-90b1c99d30f1,admin,7,2,4,1
15464125,Reidar Philipeau,f0e0ff46-a149-59de-76f7-810ae80766f2,admin,8,0,3,1
53751145,Garnet Fenney,39fd5e37-866d-c025-863d-1e963b144ab8,admin,7,6,4,2
20318517,Joete Lody,03798231-7258-e877-fb5e-9f4d5377f386,admin,8,8,4,3
53210445,Garnette Upcraft,d2808580-3fae-480c-48f4-698bd4bbe4ca,user,3,2,3,1
54840836,Matt Fontaine,fdedff46-2a8c-1096-6a68-9a29cef934c2,user,5,7,2,2
56897889,Zeke Creelman,b48d2335-5fae-d40f-0f23-f41d64424b94,user,5,9,4,2
28291744,Olva Willimot,889a06fe-d979-0c4d-6c84-584ea97534dd,user,7,10,4,2
00543795,Gav Curbishley,299004b0-a822-d955-73e5-74f66ba1637e,admin,6,10,3,2
31976471,Janet Mersey,13d246c4-5d56-0189-499a-c35f479be1ea,user,7,10,3,2
97899124,Lowe Connaughton,3a2ec2fd-bdd1-0307-485f-9faef9a141ac,user,9,7,5,3
20670621,Bear Freschi,ee0178b6-edc1-3695-d7ac-f056ba0c744c,admin,9,4,3,2
26504216,Wallace Lortzing,b8588eb5-110b-6277-e040-ec12e689614a,user,8,10,5,3
85321980,Josephine Mowlam,023f5ccf-5a37-949e-86a9-d4dec8b63c99,admin,8,6,4,2
75706850,Honey Petrusch,1bd76d4f-af62-7b26-fca1-d7ef76075547,user,8,10,4,3
07867316,Jeanne Wallenger,ceb5c090-a09b-f782-cd39-ae6370d3db13,admin,9,10,3,2
52969965,Timoteo Doyley,7c91fc27-e4f8-5e04-0255-256ff7ceb653,user,6,10,2,1
54842400,Munroe Mowling,a0f4f244-208b-1258-24ee-92e00f383702,user,6,2,4,2
58750110,Gorden Dunkerley,4c9d87bd-5ef8-a3cb-93dd-288b9cf07144,admin,7,7,4,3
26378979,Westbrook Fayers,abe5f4cc-7c4f-95c2-59a5-f065cccf2329,admin,8,10,3,1
46763053,Stu Chadwell,3d18af6d-8a37-c12b-936b-32d743183ca3,admin,8,10,4,3
91247158,Kristi Testro,9615c57d-69ca-4242-f782-3512ce57b000,user,8,3,3,1
87750675,Christian Gebbe,33cab00f-c3c2-d55c-627b-941b8859aa50,admin,8,10,4,2
42875679,Serge Steljes,b7c96d6d-db99-65b8-9d2e-7c64c5936cc8,admin,8,5,5,1
06493856,Daune Pashan,6ba6282b-18ac-0b28-e988-ebaf7cb5f10c,admin,6,10,1,3
54170003,Essy Dozdill,88256af7-c064-078c-f5bc-366af8317801,user,9,10,4,1
